,abstract,lead_paragraph,headline,keywords,sentiment
2621,"The House Judiciary Committee asked the Department of Homeland Security for documents, data and communications on the “Remain in Mexico” asylum policy.","WASHINGTON — The House Judiciary Committee opened an investigation on Tuesday into a Trump administration policy that sends many asylum seekers to Mexico to wait for their court hearings, and Democrats demanded documents, data and communications by the end of the month. ",House Opens Inquiry on Asylum Policy,"['Immigration and Emigration', 'United States Politics and Government', 'Asylum, Right of', 'Human Rights and Human Rights Violations', 'Homeland Security Department', 'House Committee on the Judiciary', 'Trump, Donald J', 'Mexico']",0.0011413865659509973
2622,"On top of La Liga and unbeaten in the Champions League, Barcelona fired its manager because its present cannot compete with its golden age.","The summer before last, Barcelona made the sort of business decision that few — if any — outside the relatively niche world of sports merchandising would have noticed.",Where Winning Is Not Enough,"['Soccer', 'Barcelona (Soccer Team)', 'Messi, Lionel', 'Valverde, Ernesto', 'La Liga']",0.4846710533241946
2623,"Business boomed for JPMorgan Chase and Citigroup last year. Even Wells Fargo, which is struggling with operational problems, managed to make shareholders happy.","Last year was a tumultuous one for American farmers and manufacturers as President Trump squabbled with trading partners around the world. American banks, however, had a ball.",Big Banks Spin an Anxious Year Into Gold,"['Banking and Financial Institutions', 'Company Reports', 'JPMorgan Chase & Company', 'Citigroup Inc', 'Wells Fargo & Company', 'Dimon, James', 'Scharf, Charles W']",0.15894825746832647
2624,"This tome, from Meredith Erickson, an author of the Joe Beef cookbook, highlights the best of the Alps.","Yes, that’s the Matterhorn on the cover of this handsome, substantial cookbook and guide to the Alpine region of Europe. The book tours the mostly snow-covered terrain of Austria, France, Italy and Switzerland, with plates of mostly rustic comfort food at every welcoming inn and warming hut. Who knew there could be so many bread soups? It’s a book to enjoy when it blusters outdoors, even without a plane ticket to Europe or a pair of skis. A simple but classic dish of goulash from the Alto Adige in Italy, not Hungary, illustrates the reach of the Austro-Hungarian empire. A venison ragout can enrich a winter menu, as can Tyrolean hash with an egg, rösti potatoes, Savoie-style mushrooms and a Mont Blanc chestnut tart. But herbal Swiss Ricola (as in cough drops) ice cream? Think twice. The author, a Canadian and a skier, offers advice on visiting the area.",To Consult: Cookbook Highlights The Best of the Alps,"['Cooking and Cookbooks', 'Erickson, Meredith (Author)', 'ALPS MOUNTAINS', ""Alpine Cooking: Recipes and Stories From Europe's Grand Mountaintops (Book)""]",0.4677222960017805
2625,Add this cold-smoked Ora King salmon to your next brunch spread.,"Connoisseurs and top chefs know Ora King salmon; it’s farm-raised in New Zealand, high quality and approved by the Monterey Bay Aquarium Seafood Watch. The company’s vermilion smoked version, cured over New Zealand’s manuka wood, has a haunting flavor that finishes with a touch of sweetness. Now, in addition to being available by the pound at some smoked fish purveyors, it’s sold nationwide, in full skinless sides of about two pounds presliced.",To Serve: Smoked Salmon  From New Zealand,"['Seafood', 'New Zealand', 'Honolulu Fish Co']",0.16124210237482983
2626,Don’t buy into a campaign of fear on criminal justice reforms.,"For years, thousands of people who hadn’t been convicted of a crime languished in New York jails because they could not afford bail. New Yorkers were locked away for months, even years, not because they were dangerous, but because they were poor.",Democrats Run From Their Own Shadows,"['Bail', 'State Legislatures', 'Democratic Party', 'Law and Legislation', 'de Blasio, Bill', 'New York State', 'New York City', 'Criminal Justice']",0.016409148002635102
2627,"“The Box,” by the 21-year-old rapper, held off a comeback single by Bieber thanks to success on streaming platforms.","Roddy Ricch, a 21-year-old melodic rapper from Compton, Calif., held off a brand-new comeback single from Justin Bieber to take the top spot this week on the Billboard Hot 100 singles chart, giving him a No. 1 song to go with his second nonconsecutive week atop the Billboard 200 album chart.",Roddy Ricch Tops Two Billboard Charts,"['Pop and Rock Music', 'Rap and Hip-Hop', 'Bieber, Justin', 'Ricch, Roddy', 'Please Excuse Me for Being Antisocial (Album)']",0.005579737048284742
2628,"Thanks to surviving landmarks and an impressive museum exhibit that recreates one of his old flats, London offers a lot to Hendrix fans, 50 years since the performer last called it home.","As the story goes, one fateful night in the late 1960s, Jimi Hendrix, best known for changing the music world with his guitar playing, set free two ring-necked parakeets on Carnaby Street and that’s why thousands of the nonnative birds haunt London’s parks to this day. ",Retracing Jimi Hendrix’s Experience in London,"['London (England)', 'Travel and Vacations', 'Nineteen Hundred Sixties', 'Hendrix, Jimi']",-0.0016097536168098135
2629,"Despite the perils, Afghan artists have consistently portrayed their country and its many facets.","On the afternoon of Feb. 26, 2015, the artist Kubra Khademi strapped a suit of metal armor over her clothes and headed outside. The armor, which she had cobbled together in the workshop of a local blacksmith, had bulbous breasts and an ample bottom. It was the centerpiece of a carefully planned street performance.",Afghan Artists Risk Everything to Reject Silence,"['Art', 'Afghanistan War (2001- )', 'Terrorism', 'AFGHANISTAN', 'Museums', 'Mucem', 'Hassanzada, M Mahdi Hamed', 'Wahidy, Farzana (1984- )', 'Eshraq, Latif']",-0.19053968332273452
2630,"“Seven Worlds, One Planet,” the latest nature documentary extravaganza from the BBC Natural History Unit, offers spectacular footage and a sense of déjà vu.","Listing the nature programs narrated, and sometimes written and produced, by the extremely industrious David Attenborough would take about all the space I have here. Just listing the major ones — the Frozen Planets, the Blue Planets, the Planet Earths — would be a stretch. Within the last year, he’s added 15 more hours with the highly praised “Our Planet” for Netflix and now “Seven Worlds, One Planet,” showing on four cable networks — AMC, BBC America, IFC and Sundance — beginning Saturday.",Continental Drifting,"['Television', 'British Broadcasting Corp', 'Attenborough, David', 'Seven Worlds, One Planet (TV Program)']",0.01924605720565204
2631,"Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.","David was washing dishes after supper, his back to me, when we decided to get married. Throughout our 17 years together I had resisted the idea, not wanting to surrender authority to the church or to the state, both of which had opposed our marriage for centuries. Once more, I asked David why he wanted to wed. “Because it would bring me joy,” he replied, and that settled that. — David Jenkins","Why Marry? Oh, Right, That’s Why","['Love (Emotion)', 'Modern Love (Times Column)', 'Dating and Relationships', 'Central Valley (Calif)']",0.3557824240187729
2632,"Subway service on the No. 1, 2 and 3 lines has resumed in time for the evening commute after water flooded the area around Lincoln Center.",A water main break early on Monday morning shut down several New York City subway lines and flooded a swath of the Upper West Side around Lincoln Center just before the start of the morning rush hour. ,Water Main Break Floods Upper West Side and Snarls Commute,"['Fire Department (NYC)', 'New York City', 'Upper West Side (Manhattan, NY)', 'Broadway (Manhattan, NY)', 'Metropolitan Transportation Authority', 'Subways']",-0.18593951089947347
2633,"Wildlife’s global, family appeal, when the environment is “the issue of the age,” gives Netflix and its rivals a rich supply of new content.","At a time when millions of species are at risk of extinction and deep-pocketed streaming services are spending billions on content, an old television genre, the nature show, is booming.","As the World Heats Up, Nature Shows Sizzle","['ANIMALS', 'Documentary Films and Programs', 'Television', 'Web-Original Programming', 'Endangered and Extinct Species', 'British Broadcasting Corp', 'Disney Plus', 'National Geographic', 'Netflix Inc', 'Apple TV Plus', 'Attenborough, David', 'Zaslav, David M', 'Nature (TV Program)', 'Planet Earth II (TV Program)', 'Seven Worlds, One Planet (TV Program)']",0.35745037851036565
2637,"Mr. Nadler, the chairman of the House Judiciary Committee, will be the constitutional expert of the team of impeachment managers.","WASHINGTON — When Representative Jerrold Nadler campaigned two years ago to be the top Democrat on the House Judiciary Committee, he billed himself as the “strongest member to lead a potential impeachment.”",Jerrold Nadler,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Impeachment', 'Democratic Party', 'House of Representatives', 'Trump, Donald J', 'Nadler, Jerrold', 'Schiff, Adam B']",0.00459376454008716
2641,The two musicians are collaborating on a new album and a Winter Jazzfest show that recall the glories of a country both have left behind.,"Twenty-five years ago, the actor and singer Seu Jorge began a determined rise from the slums of Rio de Janeiro. The band he formed with a group of friends, Farofa Carioca, released an important album, “Moro no Brasil” (“I Live in Brazil”), a danceable yet probing portrait of life amid Rio’s crime, racism and poverty. Seu Jorge was the group’s obvious standout — he sang samba, reggae, funk and soul with swing, and rapped with theatrical expressiveness.","Two Musicians Share a Bond, First Forged in Brazil","['Music', 'Winter Jazzfest', 'Jorge, Seu', 'Brazil', 'Roge (1975- )']",0.31832895986914356
2642,"Rejecting his predecessor’s hopes of moderating Iran’s theocratic government, Mr. Trump sees it choking under “maximum pressure.”","WASHINGTON — Speaking at Stanford University on Monday, Secretary of State Mike Pompeo had an improbable request for Iran’s revolutionary Islamist government.","Like Obama, Trump Seeks Change in Tehran, but in Own Way","['United States International Relations', 'Bolton, John R', 'Suleimani, Qassim', 'Trump, Donald J', 'Obama, Barack', 'Iran']",0.32321168261732564
2643,"Remarkably, some criticism is coming from some within the government’s hard-line power base.",A top Iranian military commander made a rare public appeal for forgiveness on Sunday as security forces fired on protesters and outrage over the mistaken downing of a jetliner reignited opposition on the streets and stirred dissent within the government’s conservative base. ,"A Crackdown, And Apology,  From Tehran","['Iran', 'Demonstrations, Protests and Riots', 'Aviation Accidents, Safety and Disasters', 'Islamic Revolutionary Guards Corps', 'Ukraine International Airlines Flight 752', 'Ukraine International Airlines', 'Tehran (Iran)']",0.003713617280905735
2647,"A four-story, 40,000-square-foot space will bring the photography center’s exhibition and education spaces together under the same roof.","The International Center of Photography will reopen in a four-story, 40,000-square-foot space in the massive new Essex Crossing development on the Lower East Side on Jan. 25. It is the fourth location for the museum since its opening in 1974 and brings the exhibition and education spaces under the same roof for the first time this century.",Photography Center At Essex Crossing,"['Art', 'Photography', 'Museums', 'International Center of Photography', 'Essex Crossing (Manhattan, NY)', 'Mitchell, Tyler (Photographer)', 'I Can Make You Feel Good (Exhibit)', 'CONTACT HIGH: A Visual History of Hip-Hop (Exhibit)']",0.09167455007751577
2648,Floodwaters around Lincoln Center engulfed a garage under a luxury high-rise and destroyed the home of a group of film devotees.,Michael Groll sloshed through a puddle in the parking garage of his Upper West Side high-rise.,Casualties of the Flood: 60 Cars and a Prized Theater,"['Automobiles', 'Floods', 'Automobile Insurance and Liability', 'Upper West Side (Manhattan, NY)']",-0.08706081385099884
2649,Don’t buy into a campaign of fear on criminal justice reforms.,"For years, thousands of people who hadn’t been convicted of a crime languished in New York jails because they could not afford bail. New Yorkers were locked away for months, even years, not because they were dangerous, but because they were poor.",Democrats Run From Their Own Shadows,"['Bail', 'State Legislatures', 'Democratic Party', 'Law and Legislation', 'de Blasio, Bill', 'New York State', 'New York City', 'Criminal Justice']",0.016409148002635102
2650,"“The Box,” by the 21-year-old rapper, held off a comeback single by Bieber thanks to success on streaming platforms.","Roddy Ricch, a 21-year-old melodic rapper from Compton, Calif., held off a brand-new comeback single from Justin Bieber to take the top spot this week on the Billboard Hot 100 singles chart, giving him a No. 1 song to go with his second nonconsecutive week atop the Billboard 200 album chart.",Roddy Ricch Tops Two Billboard Charts,"['Pop and Rock Music', 'Rap and Hip-Hop', 'Bieber, Justin', 'Ricch, Roddy', 'Please Excuse Me for Being Antisocial (Album)']",0.005579737048284742
2651,Readers discuss the challenges that women surgeons face in meeting the needs of two very demanding roles.,To the Editor:,Balancing Being a Surgeon and a Mother,"['Surgery and Surgeons', 'Parenting', 'Women and Girls']",0.0028759653017093774
2652,"Corrections that appeared in print on Wednesday, Jan. 15, 2020.","An article on Sunday about far-right trolls in Germany misspelled the surname of North-Rhine-Westphalia’s governor. He is Armin Laschet, not Lashet.",Corrections,[],0.5290534663738645
2653,"Quotation of the Day for Wednesday, January 15, 2020.","“It’s not a heavy lift, but it’s going to put him in a very, very unpleasant role. I’m sure he’ll get ulcers.”",Quote of the Day,[],0.2086641123657015
2654,"In his “nonfiction” novel “Lord of All the Dead,” Javier Cercas unearths the conflicted story of a relative who died serving in Franco’s army.",LORD OF ALL THE DEADA Nonfiction NovelBy Javier Cercas ,Civil War and Remembrance,"['Books and Literature', 'Lord of All the Dead (Book)', 'Cercas, Javier', 'Soldiers of Salamis (Book)']",-0.25580036612199214
2655,The narrator of Jonathan Buckley’s novel “The Great Concert of the Night” uses a journal to keep alive memories of the enigmatic actress he loved.,THE GREAT CONCERT OF THE NIGHTBy Jonathan Buckley,Solitary Together,"['Books and Literature', 'The Great Concert of the Night (Book)', 'Buckley, Jonathan (Author)']",0.05632224432329701
2656,"A new exhibition in San Francisco makes art out of the Patagonia vest, the former prime minister of England and … Salesforce?","The death knell of the Patagonia vest, at least as a symbol of utopianism co-opted by the tech and venture capital world and transformed into shorthand for a certain kind of unbridled corporate power, was much predicted last summer. ",Tech Bro Uniform Meets Margaret Thatcher,"['Art', 'Fashion and Apparel', 'Denny, Simon', 'Security Through Obscurity (Exhibit)', 'Altman Siegel (San Francisco, Calif, Gallery)', 'Scarves', 'Uniforms', 'Patagonia Inc', 'Salesforce.com Inc', 'Thatcher, Margaret H', 'San Francisco (Calif)', 'your-feed-fashion']",0.06205422641794148
2660,"A genetic disorder has dominated large portions of Silas Waller’s life. Getting to college at first required a wheelchair and two buses, but he was determined to get on a path to financial security.","Silas Waller has measured his life in hospital stays. He has neurofibromatosis, a genetic disorder that causes tumors to form on nerve tissue. The condition makes it hard for him to walk.","A Childhood in Hospitals, an Adulthood in the Making","['New York Times Neediest Cases Fund', 'Catholic Charities']",0.33480679771461735
2661,Joshua Helmer was removed at the Erie Art Museum after a New York Times article about complaints during his tenure at the Philadelphia Museum of Art.,The director of a Pennsylvania museum was forced out of his job on Monday in the wake of allegations about a pattern of misconduct at his former job as a manager at the Philadelphia Museum of Art.,Director Forced Out At Museum,"['Museums', 'Women and Girls', 'Hiring and Promotion', 'Workplace Environment', 'Sexual Harassment', 'Erie Art Museum', 'Philadelphia Museum of Art', 'Helmer, Joshua', 'Philadelphia (Pa)']",-0.121434240254601
2663,"It was the latest study to suggest that effects of wage increases reach beyond economic welfare, but some experts pushed back on the findings.","Raising the minimum wage could lower the suicide rate, according to a study published last week, delivering labor advocates a tantalizing new finding about the broader impacts of wage changes even as some experts said other factors could explain the decrease.","Minimum Wage Increases Could Lower Suicide Rates, Study Says","['Minimum Wage', 'Suicides and Suicide Attempts', 'Research', 'United States Politics and Government', 'Labor and Jobs', 'Wages and Salaries', 'Journal of Epidemiology & Community Health']",-0.14357042724413593
2665,She always said she’d be famous. Now she is.,In 2018 Olivia Palermo hired a social media agency to help build her online following. She already had five million followers on Instagram. That agency noticed something it thought was curious about her appeal.,Wary. Now Why’s That?,"['Palermo, Olivia', 'Fashion and Apparel', 'Models (Professional)', 'Social Media', 'Reality Television', 'The City (TV Program)']",0.23194866112100773
2666,Hollywood stars are making their way to Iowa and South Carolina. Will they change anyone’s mind?,"SUMTER, S.C. — Bernice Harris was with her granddaughter Saturday afternoon when they heard a surprising rumor: Senator Bernie Sanders of Vermont was going to visit their city later that day, holding a rally at an African Methodist Episcopal Church. ",Glittering Proxies Lend 2020 Democrats a Hand,"['Presidential Election of 2020', 'Biden, Joseph R Jr', 'Sanders, Bernard', 'Warren, Elizabeth', 'Glover, Danny']",0.2410440130582066
2667,"President Trump’s order allowing state and local officials to veto refugee resettlement in their communities is likely “unlawful,” the judge said.","A federal judge on Wednesday temporarily suspended a new Trump administration policy that allowed state and local authorities to opt out of receiving refugees, concluding that the policy would likely be found to be illegal. ",Judge Halts Trump Policy Allowing States and Cities to Reject Refugees,"['Trump, Donald J', 'Refugees and Displaced Persons', 'Immigration and Emigration', 'States (US)', 'Local Government', 'Federal-State Relations (US)', 'Executive Orders and Memorandums', 'Decisions and Verdicts', 'Messitte, Peter J', 'United States Politics and Government', 'Faith-Based Initiatives']",-0.24004551698947485
2668,"President Trump’s order allowing state and local officials to veto refugee resettlement in their communities is likely “unlawful,” the judge said.","A federal judge on Wednesday temporarily suspended a new Trump administration policy that allowed state and local authorities to opt out of receiving refugees, concluding that the policy would likely be found to be illegal. ",Judge Halts Trump Policy Allowing States and Cities to Reject Refugees,"['Trump, Donald J', 'Refugees and Displaced Persons', 'Immigration and Emigration', 'States (US)', 'Local Government', 'Federal-State Relations (US)', 'Executive Orders and Memorandums', 'Decisions and Verdicts', 'Messitte, Peter J', 'United States Politics and Government', 'Faith-Based Initiatives']",-0.24004551698947485
2669,She always said she’d be famous. Now she is.,In 2018 Olivia Palermo hired a social media agency to help build her online following. She already had five million followers on Instagram. That agency noticed something it thought was curious about her appeal.,Wary. Now Why’s That?,"['Palermo, Olivia', 'Fashion and Apparel', 'Models (Professional)', 'Social Media', 'Reality Television', 'The City (TV Program)']",0.23194866112100773
2670,The latest from Josh Thomas is a charming variation on the orphans-raising-one-another scenario.,"Chief among the pleasures of Josh Thomas’s coming-of-age comedy “Please Like Me” was its excellent title. Despite the premise — a college student, who just realized that he’s gay, moves in with his suicidal mother — the series proved to be the laid-back, gently self-effacing comedy of social awkwardness that its moniker promised.","Orphans, Minus Dark, Dickensian Twists","['Television', 'Freeform (TV Network)', ""Everything's Gonna Be Okay (TV Program)"", 'Thomas, Josh (1987- )', 'Cromer, Kayla', 'Press, Maeve']",-0.5861155590773305
2671,A song precision-engineered by a corporation to delight babies — and it works!,"The song I listened to most this past year was ‘‘The Happy Song,’’ by the English singer-songwriter Imogen Heap. I didn’t play any other songs by Imogen Heap last year, or any other year. I don’t think I’ve ever even heard any other songs by her. But this song, ‘‘The Happy Song,’’ I played every single day, often eight or 10 times in succession. As music, I could take it or leave it. It’s not great. But from a strictly utilitarian point of view? From the point of view of sheer effectiveness? Surely the greatest song ever recorded.",‘The Happy Song’,"['Music', 'Babies and Infants', 'Parenting', 'The Happy Song (Song)', 'Heap, Imogen']",0.7210731449037817
2672,"The European nations triggered a dispute mechanism in the 2015 pact, a first step toward reimposing United Nations sanctions.","BRUSSELS — Britain, France and Germany on Tuesday formally accused Iran of breaking the 2015 agreement that limited its nuclear program, taking the first step toward reimposing United Nations sanctions.",European Nations Serve Notice on Iran Under Nuclear Deal,"['Nuclear Weapons', 'Embargoes and Sanctions', 'United Nations', 'France', 'Germany', 'Great Britain', 'Iran', 'United States International Relations', 'International Relations', 'Nuclear Nonproliferation Treaty']",0.04757553252273319
2673,"Protesters chanted against Iran’s clerical rulers for a third day, while several prominent newscasters quit their jobs, apologizing for having broadcast lies.","Widespread anger at the Iranian government for shooting down a passenger plane and then misleading the public about it simmered for a third day on Monday, with the police and protesters facing off in at least two cities and increasing demands from lawmakers for accountability.","In Iran, Growing Indignation and a Push for Accountability","['Ukraine International Airlines Flight 752', 'Targeted Killings', 'Demonstrations, Protests and Riots', 'Ukraine International Airlines', 'Suleimani, Qassim', 'Trump, Donald J', 'Rouhani, Hassan', 'Tehran (Iran)', 'Ukraine', 'Iran', 'News and News Media', 'Rumors and Misinformation']",-0.10666514200331996
2674,"Once cited by the special counsel team as an exemplary cooperating witness, Mr. Flynn had grown increasingly combative in recent months.","WASHINGTON — President Trump’s former national security adviser Michael T. Flynn moved late on Tuesday to withdraw his guilty plea on charges of lying to investigators in the Russia inquiry, accusing prosecutors of “bad faith” and vindictiveness after they asked a judge to sentence him to prison for backing out of a deal to cooperate with them.","Citing ‘Bad Faith,’ Flynn Asks to Take Back His Guilty Plea","['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Special Prosecutors (Independent Counsel)', 'Lobbying and Lobbyists', 'Federal Bureau of Investigation', 'Flynn, Michael T', 'Trump, Donald J', 'United States Politics and Government']",-0.2906243116787481
2675,"In October 2002, he was one of 77 senators who gave President George W. Bush the authority to use force in Iraq. He is still trying to explain that choice.",Senator Joseph R. Biden Jr. proposed a compromise. ,Biden Haunted By 2002 Vote For Iraq War,"['Presidential Election of 2020', 'Biden, Joseph R Jr', 'Lugar, Richard G', 'Iraq War (2003-11)', 'War and Emergency Powers (US)', 'United States Politics and Government', 'Bush, George W']",-0.27293896589678357
2678,"Travel and hospitality workers offer suggestions on how, with a little kindness and consideration, you can be a better traveler.","Much has been written about “hacks” when it comes to being a better traveler. Sure, snagging the best deals, efficiently navigating airports and other in-the-know tricks are important, but there’s a piece of travel that’s just as important: How to be kind. To me, that equals a better traveler.",A Guide to Being A Kinder Traveler,"['Travel and Vacations', 'Customs, Etiquette and Manners']",0.07588380026251151
2679,"Senators Susan Collins, Lisa Murkowski and Mitt Romney seem open to witnesses in President Trump’s impeachment trial. With one more Republican, Democrats could commandeer the proceedings.","WASHINGTON — The Capitol math is clear: Democrats need only four Republican votes to force the Senate to subpoena witnesses like John R. Bolton, the former White House national security adviser, to testify in President Trump’s impeachment trial. Three have signaled they may be open to doing so: Senators Mitt Romney, Susan Collins and Lisa Murkowski.","Republicans Open to Witnesses, but Not Enough for the Democrats","['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'Senate', 'Republican Party', 'Biden, Joseph R Jr', 'Biden, Hunter', 'Bolton, John R', 'Trump, Donald J', 'ALEXANDER, LAMAR', 'Gardner, Cory S', 'Collins, Susan M', 'Romney, Mitt', 'Murkowski, Lisa', 'McConnell, Mitch']",0.44640499916577814
2683,The two musicians are collaborating on a new album and a Winter Jazzfest show that recall the glories of a country both have left behind.,"Twenty-five years ago, the actor and singer Seu Jorge began a determined rise from the slums of Rio de Janeiro. The band he formed with a group of friends, Farofa Carioca, released an important album, “Moro no Brasil” (“I Live in Brazil”), a danceable yet probing portrait of life amid Rio’s crime, racism and poverty. Seu Jorge was the group’s obvious standout — he sang samba, reggae, funk and soul with swing, and rapped with theatrical expressiveness.","Two Musicians Share a Bond, First Forged in Brazil","['Music', 'Winter Jazzfest', 'Jorge, Seu', 'Brazil', 'Roge (1975- )']",0.31832895986914356
2687,"Rejecting his predecessor’s hopes of moderating Iran’s theocratic government, Mr. Trump sees it choking under “maximum pressure.”","WASHINGTON — Speaking at Stanford University on Monday, Secretary of State Mike Pompeo had an improbable request for Iran’s revolutionary Islamist government.","Like Obama, Trump Seeks Change in Tehran, but in Own Way","['United States International Relations', 'Bolton, John R', 'Suleimani, Qassim', 'Trump, Donald J', 'Obama, Barack', 'Iran']",0.32321168261732564
2688,"Jeanine Cummins depicts a mother and son’s gut-wrenching journey in “American Dirt,” even as she acknowledges “I don’t know if I’m the right person to tell this story.”","During one of many harrowing moments in Jeanine Cummins’s new novel, “American Dirt,” the protagonist, a bookstore owner named Lydia, has a jarring realization.",A Novelist Is Praised And Pelted,"['Writing and Writers', 'Books and Literature', 'Cummins, Jeanine', 'American Dirt: A Novel (Book)', 'Illegal Immigration', 'Immigration and Emigration', 'United States Politics and Government', 'Mexican-Americans', 'Flatiron Books', 'Mexico', 'United States']",0.3788998854665572
2689,"“Seven Worlds, One Planet,” the latest nature documentary extravaganza from the BBC Natural History Unit, offers spectacular footage and a sense of déjà vu.","Listing the nature programs narrated, and sometimes written and produced, by the extremely industrious David Attenborough would take about all the space I have here. Just listing the major ones — the Frozen Planets, the Blue Planets, the Planet Earths — would be a stretch. Within the last year, he’s added 15 more hours with the highly praised “Our Planet” for Netflix and now “Seven Worlds, One Planet,” showing on four cable networks — AMC, BBC America, IFC and Sundance — beginning Saturday.",Continental Drifting,"['Television', 'British Broadcasting Corp', 'Attenborough, David', 'Seven Worlds, One Planet (TV Program)']",0.01924605720565204
2690,"Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.","David was washing dishes after supper, his back to me, when we decided to get married. Throughout our 17 years together I had resisted the idea, not wanting to surrender authority to the church or to the state, both of which had opposed our marriage for centuries. Once more, I asked David why he wanted to wed. “Because it would bring me joy,” he replied, and that settled that. — David Jenkins","Why Marry? Oh, Right, That’s Why","['Love (Emotion)', 'Modern Love (Times Column)', 'Dating and Relationships', 'Central Valley (Calif)']",0.3557824240187729
2691,"Despite the perils, Afghan artists have consistently portrayed their country and its many facets.","On the afternoon of Feb. 26, 2015, the artist Kubra Khademi strapped a suit of metal armor over her clothes and headed outside. The armor, which she had cobbled together in the workshop of a local blacksmith, had bulbous breasts and an ample bottom. It was the centerpiece of a carefully planned street performance.",Afghan Artists Risk Everything to Reject Silence,"['Art', 'Afghanistan War (2001- )', 'Terrorism', 'AFGHANISTAN', 'Museums', 'Mucem', 'Hassanzada, M Mahdi Hamed', 'Wahidy, Farzana (1984- )', 'Eshraq, Latif']",-0.19053968332273452
2692,"Here’s how I did it, and what I learned about how the curriculum has changed since my own school days.","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.","Lessons From 4,800 Pages of History","['Textbooks', 'Education (K-12)', 'History (Academic Subject)', 'Native Americans']",0.026732762747522284
2694,"Governor Andrew Cuomo seems to have lost patience and is proposing new tracks at the transit hub, even if modern rail tunnels are not built.","It was presented as a crowning vision for Pennsylvania Station, the busiest train hub in North America — a plan to significantly expand the terminal, including adding eight new tracks, by annexing a full Manhattan block and working to make the vast complex less stifling and more welcoming.","Amid Plans to Expand Penn Station, Tunnels Await Trump’s Help","['Infrastructure (Public Works)', 'Politics and Government', 'Commuting', 'Transit Systems', 'Hudson River Tunnels Project', 'Railroads', 'Transportation', 'AMTRAK', 'Federal Transit Administration', 'Long Island Rail Road Co', 'New Jersey Transit', 'Pennsylvania Station (Manhattan, NY)', 'Regional Plan Assn', 'Cuomo, Andrew M', 'de Blasio, Bill', 'Hudson River', 'New Jersey', 'New York City']",0.22569604445726432
2701,"Thanks to surviving landmarks and an impressive museum exhibit that recreates one of his old flats, London offers a lot to Hendrix fans, 50 years since the performer last called it home.","As the story goes, one fateful night in the late 1960s, Jimi Hendrix, best known for changing the music world with his guitar playing, set free two ring-necked parakeets on Carnaby Street and that’s why thousands of the nonnative birds haunt London’s parks to this day. ",Retracing Jimi Hendrix’s Experience in London,"['London (England)', 'Travel and Vacations', 'Nineteen Hundred Sixties', 'Hendrix, Jimi']",-0.0016097536168098135
2702,"When it comes to Oscar’s top prize, this is the most wide-open competition in years. Which film has the right factors to go all the way?","The race for this year’s acting Oscars couldn’t possibly be less suspenseful: You can engrave those Academy Awards right now for Joaquin Phoenix (“Joker”), Renée Zellweger (“Judy”), Brad Pitt (“Once Upon a Time … in Hollywood”) and Laura Dern (“Marriage Story”), the fearsome foursome set to sweep up every trophy from now until Feb. 9, when the ceremony will take place.",Hollywood Has a Thriller On Its Hands,"['Movies', 'ACADEMY AWARDS (OSCARS)', 'Joker (Movie)', 'Once Upon a Time in Hollywood (Movie)', 'Parasite (Movie)', 'The Irishman (Movie)', '1917 (Movie)']",0.10971291019589312
2703,"Subway service on the No. 1, 2 and 3 lines has resumed in time for the evening commute after water flooded the area around Lincoln Center.",A water main break early on Monday morning shut down several New York City subway lines and flooded a swath of the Upper West Side around Lincoln Center just before the start of the morning rush hour. ,Water Main Break Floods Upper West Side and Snarls Commute,"['Fire Department (NYC)', 'New York City', 'Upper West Side (Manhattan, NY)', 'Broadway (Manhattan, NY)', 'Metropolitan Transportation Authority', 'Subways']",-0.18593951089947347
2704,An organism living in ocean muck offers clues to the origins of the complex cells of all animals and plants.,"A bizarre tentacled microbe discovered on the floor of the Pacific Ocean may help explain the origins of complex life on this planet and solve one of the deepest mysteries in biology, scientists reported on Wednesday.",Odd Clue From Deep In the Sea,"['Microbiology', 'Oceans and Seas', 'Biology and Biochemistry', 'Mitochondria', 'Bacteria', 'Evolution (Biology)', 'Nature (Journal)', 'Japan', 'Pacific Ocean', 'ARCTIC OCEAN', 'Nobu, Masaru K', 'your-feed-science']",0.18898227245102678
2705,"Wildlife’s global, family appeal, when the environment is “the issue of the age,” gives Netflix and its rivals a rich supply of new content.","At a time when millions of species are at risk of extinction and deep-pocketed streaming services are spending billions on content, an old television genre, the nature show, is booming.","As the World Heats Up, Nature Shows Sizzle","['ANIMALS', 'Documentary Films and Programs', 'Television', 'Web-Original Programming', 'Endangered and Extinct Species', 'British Broadcasting Corp', 'Disney Plus', 'National Geographic', 'Netflix Inc', 'Apple TV Plus', 'Attenborough, David', 'Zaslav, David M', 'Nature (TV Program)', 'Planet Earth II (TV Program)', 'Seven Worlds, One Planet (TV Program)']",0.35745037851036565
